,Measured Data,Linear Regression,Support Vector Regression,Decision Tree Regression,Random Forest Regression,Random Forest Regression (standardized data),Gradient Boosting,Extreme Gradient Boosting,Bootstrapping,Neural Networks
892,305.0020064,328.86807842101643,316.47475973669833,307.7658129,311.6484061841904,315.2736803665899,305.90109088826364,299.32343,306.02433225,326.1894418809634
893,145.6725907,138.4479003138205,144.82319839011717,145.5599873,146.56724926467257,144.55430784656403,146.5597135979908,146.2068,149.95645938,139.6595894322177
894,288.4564228,292.97444228836684,283.62409857534294,285.0640884,288.52958308413463,292.72769946623623,289.73725197514966,283.77823,286.2675634,283.620072553436
895,216.0903199,190.38285009113466,207.62534586551715,198.9101387,220.06552830002553,222.8327857205303,221.42886812429168,224.1264,208.89217894999996,199.31158827811387
896,118.9839105,146.7951159242383,129.93694035953143,127.9210205,127.71624772608162,128.91832557899,124.53371960626868,126.17852,124.80219933999999,133.17730620468808
897,128.198343,149.11555444175053,132.19553953838664,128.3193184,130.59499713529885,130.71296892373567,128.4949874888317,128.29607,126.99712844000001,134.91089983145693
898,143.7461935,140.88045765293202,144.03373364055466,148.7149755,153.82176715196726,151.25415787653972,155.1610416425932,146.82831,147.07772625,144.42797542859344
899,133.2663332,134.92326742550878,126.66183158597792,129.728326,130.01598937278467,130.69768596544415,133.016224054086,130.58476,130.15883517000003,129.32077513514307
900,325.1421082,348.4084574933912,343.79921516826164,307.581001,332.07434852561454,336.80034567306706,328.2688507583375,317.69653,314.9605004,354.1054688537681
901,107.0575779,122.44596722637169,115.54302612574733,106.7243723,123.81602334088542,129.9154351230646,119.4492493384653,109.285805,111.00608519,135.23777850548944
902,176.0683925,189.70281496379593,169.9890568591941,168.9747969,162.9451134562708,162.1547878424586,164.06729961296608,164.24268,164.26623759,174.3287755935739
903,104.8498815,121.13504972177371,99.79482305590001,106.7756508,107.86547194120301,111.00845546902372,106.01224525461478,105.859634,105.89753264999999,109.56821732371337
904,143.4655222,140.05086811714645,145.6090184662388,153.8491045,143.3348603584325,142.78726205419812,142.98122241535822,145.24692,142.37814591,141.2195836838058
905,384.406659,340.43786925636493,357.28344781146905,371.4997559,350.5665317639648,341.5479008520594,360.1104408963214,381.87604,356.82617243,342.5663459157731
906,145.8655653,130.37020016183484,145.24896462743257,138.4946472,144.1209331732283,143.23238086744303,141.75320046599848,143.98566,145.59090091,138.98652494309704
907,142.4121153,137.85455902025245,140.22943088427155,146.5503949,142.53037114805096,141.53317054574538,142.239527093309,144.5064,142.61928043999998,143.6215308368197
908,145.0446907,140.29138856600127,138.04765842879692,143.1097122,140.22185103619552,139.37890414559945,141.2590618360497,138.60796,140.08005283999998,140.282091039806
909,298.6319609,306.28129573150875,307.5325869716615,311.7508849,298.70767376584314,300.9041542921123,308.1271543855441,303.77527,299.48349795,311.65375788426906
910,140.6680184,133.1454554880655,139.9549269477999,136.8020381,138.71574737185435,137.7901524790619,137.9805908628517,138.07216,138.66803132,135.94347781942045
911,169.9352746,156.77858258219212,173.71086898045547,170.9914024,173.37971568486356,173.3188341434625,165.7662255606199,179.38821,180.69687362999997,160.5141145813771
912,273.3702881,302.1214664699751,286.9194131050714,284.1391917,279.296390617992,286.3744537493509,276.7920528129211,273.58542,273.128128,294.7747531451154
913,132.9684993,137.6022503439006,135.20552749616033,137.5257975,138.18473859592032,137.21993275453602,134.75669718295586,136.4968,137.49289554,133.73497864359337
914,163.4731371,170.76730651531463,159.17560420008377,149.2639694,155.17332753001273,155.12335018662137,157.67918723690204,153.72147,156.80396004000002,163.01668352291384
915,129.0330314,141.3350432046393,127.76789310606053,128.1489482,129.69357490473757,131.48192531243728,130.4949123767904,129.21799,130.76881909,134.58352116638537
916,133.0869631,141.15108185252816,137.80282439706787,133.2305429,134.7778873405481,135.22481989283736,133.09860518000684,133.73402,134.60154161999998,134.90411269013327
917,117.9198293,111.2663704303841,121.27247525725474,133.5740042,120.80706655746164,121.84872129481339,119.02194307462818,119.93053,126.00481620999999,122.09013337410468
918,283.0288552,180.15685295082577,221.9908372644956,234.1384682,236.11679671627658,233.8127013942907,237.514712539549,252.9296,235.44983734999997,210.15922186482956
919,389.1830943,369.7336107451978,380.0871057931298,401.6203282,379.19945195814057,367.04708023136425,381.11863099192334,392.29938,388.84986777,388.8007086673698
920,436.030504,410.0741798607048,420.69814859408746,441.0566342,402.50310145328694,395.0196214164589,417.68728617954537,425.2735,424.76225246,435.8261394267531
921,343.260372,315.9102992816829,335.92385974982164,349.3315371,333.9182182362937,334.1745817486686,340.1949673957958,341.42242,338.73959664999995,319.59717539944376
922,202.5900513,191.1618254114385,191.07394935671488,230.2218373,178.30537149737376,175.50318805757783,240.31092576917385,221.61642,223.46165660000003,185.78842658010757
923,113.386182,124.54832111396733,114.38022140514866,117.9953866,115.49612529363927,115.13618380641154,116.25153242957087,117.04177,121.85684602,120.67225174894166
924,131.1130548,143.10405069573972,135.5635266634427,132.8785003,132.35593649754347,132.7026194793076,132.02453029142907,131.21474,144.54917295,140.59540905451738
925,115.3171838,125.76745002891427,118.20112286147364,113.9757801,115.13135319314914,115.2227554356484,112.59569014717528,112.73913,122.80863776999998,125.3768095504523
926,152.6521178,164.6295011498679,152.34821838296125,141.4859628,155.99152510327949,153.94753652745374,156.42354015867846,158.63986,154.78231040999998,158.59036854572852
927,302.9877032,308.3998742604389,305.75040376885727,273.004641,292.6648470275617,300.5781293286306,292.2821896619798,286.62717,278.92513103,310.52618511303945
928,129.3741904,144.30160390391305,136.60874821361307,149.3679915,135.2903525126415,136.8458581313816,133.02534124624466,136.071,135.56124490999997,139.4590405698771
929,157.7207359,146.36753381226032,157.20506540327304,135.6979806,152.47443108437471,153.3415236537818,152.85966153069782,149.44305,146.44168448,162.64401895400232
930,132.7409902,138.1468646857122,135.00700036945994,140.2224187,137.69612300720027,138.5126820901659,139.6560024193845,136.07832,132.6080847,139.76192625012163
931,105.6653143,119.10519385272138,106.39418106406607,105.1328551,110.35852950906701,111.93620905813212,108.12249031486319,106.790924,105.27208146000001,114.90271018483597
932,348.5824524,342.22930822809474,340.1301962279118,347.3450708,342.50375865495863,340.1520296847258,346.15959733721564,348.4893,341.52680288999994,348.57867582320415
